timestamp,id_ponto,chuva_mm,precipitacao_acumulada_mm,umidade_1m_perc,umidade_2m_perc,umidade_3m_perc,base_1m,base_2m,base_3m
2025-10-30 12:45:00+00:00,Ponto-A-KM67,0.8,,,,,,,
2025-10-30 13:00:00+00:00,Ponto-A-KM67,1.0,,,,,,,
2025-10-30 13:15:00+00:00,Ponto-A-KM67,0.6,,,,,,,
2025-10-30 13:30:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-30 13:45:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-30 14:00:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-30 14:15:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-30 14:30:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-30 14:45:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-30 15:00:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-30 15:15:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-30 15:30:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-30 15:45:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-30 16:00:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-30 16:15:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-30 16:30:00+00:00,Ponto-A-KM67,0.2,,,,,,,
2025-10-30 16:45:00+00:00,Ponto-A-KM67,0.8,,,,,,,
2025-10-30 17:00:00+00:00,Ponto-A-KM67,0.6,,,,,,,
2025-10-30 17:15:00+00:00,Ponto-A-KM67,1.0,,,,,,,
2025-10-30 17:30:00+00:00,Ponto-A-KM67,1.0,,,,,,,
2025-10-30 17:45:00+00:00,Ponto-A-KM67,1.6,,,,,,,
2025-10-30 18:00:00+00:00,Ponto-A-KM67,1.2,,,,,,,
2025-10-30 18:15:00+00:00,Ponto-A-KM67,0.8,,,,,,,
2025-10-30 18:30:00+00:00,Ponto-A-KM67,0.6,,,,,,,
2025-10-30 18:45:00+00:00,Ponto-A-KM67,0.6,,,,,,,
2025-10-30 19:00:00+00:00,Ponto-A-KM67,0.4,,,,,,,
2025-10-30 19:15:00+00:00,Ponto-A-KM67,0.4,,,,,,,
2025-10-30 19:30:00+00:00,Ponto-A-KM67,0.2,,,,,,,
2025-10-30 19:45:00+00:00,Ponto-A-KM67,0.4,,,,,,,
2025-10-30 20:00:00+00:00,Ponto-A-KM67,0.4,,,,,,,
2025-10-30 20:15:00+00:00,Ponto-A-KM67,0.6,,,,,,,
2025-10-30 20:30:00+00:00,Ponto-A-KM67,0.4,,,,,,,
2025-10-30 20:45:00+00:00,Ponto-A-KM67,0.4,,,,,,,
2025-10-30 21:00:00+00:00,Ponto-A-KM67,0.8,,,,,,,
2025-10-30 21:15:00+00:00,Ponto-A-KM67,0.4,,,,,,,
2025-10-30 21:30:00+00:00,Ponto-A-KM67,0.4,,,,,,,
2025-10-30 21:45:00+00:00,Ponto-A-KM67,0.4,,,,,,,
2025-10-30 22:00:00+00:00,Ponto-A-KM67,0.4,,,,,,,
2025-10-30 22:15:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-30 22:30:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-30 22:45:00+00:00,Ponto-A-KM67,0.2,,,,,,,
2025-10-30 23:00:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-30 23:15:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-30 23:30:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-30 23:45:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 00:00:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 00:15:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 00:30:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 00:45:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 01:00:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 01:15:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 01:30:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 01:45:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 02:00:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 02:15:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 02:30:00+00:00,Ponto-A-KM67,0.4,,,,,,,
2025-10-31 02:45:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 03:00:00+00:00,Ponto-A-KM67,0.2,,,,,,,
2025-10-31 03:15:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 03:30:00+00:00,Ponto-A-KM67,0.4,,,,,,,
2025-10-31 03:45:00+00:00,Ponto-A-KM67,0.2,,,,,,,
2025-10-31 04:00:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 04:15:00+00:00,Ponto-A-KM67,0.2,,,,,,,
2025-10-31 04:30:00+00:00,Ponto-A-KM67,0.2,,,,,,,
2025-10-31 04:45:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 05:00:00+00:00,Ponto-A-KM67,0.2,,,,,,,
2025-10-31 05:15:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 05:30:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 05:45:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 06:00:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 06:15:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 06:30:00+00:00,Ponto-A-KM67,0.2,,,,,,,
2025-10-31 06:45:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 07:00:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 07:15:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 07:30:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 07:45:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 08:00:00+00:00,Ponto-A-KM67,0.2,,,,,,,
2025-10-31 08:15:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 08:30:00+00:00,Ponto-A-KM67,0.2,,,,,,,
2025-10-31 08:45:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 09:00:00+00:00,Ponto-A-KM67,0.2,,,,,,,
2025-10-31 09:15:00+00:00,Ponto-A-KM67,0.4,,,,,,,
2025-10-31 09:30:00+00:00,Ponto-A-KM67,0.6,,,,,,,
2025-10-31 09:45:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 10:00:00+00:00,Ponto-A-KM67,0.2,,,,,,,
2025-10-31 10:15:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 10:30:00+00:00,Ponto-A-KM67,0.0,,,,,,,
2025-10-31 10:45:00+00:00,Ponto-A-KM67,0.0,,,,,,,
